# Iteration Pressure Kinetic Potential Temperature Total
153 -0.56650279 1.0516334 -4.7232175 0.70108893 -3.6715841
154 -0.57916529 1.0502878 -4.7218688 0.70019187 -3.671581
155 -0.57469332 1.0453121 -4.7168893 0.69687473 -3.6715771
156 -0.57194587 1.0419078 -4.7134806 0.6946052 -3.6715729
157 -0.5903686 1.0453535 -4.716925 0.69690233 -3.6715715
158 -0.62408129 1.0561475 -4.7277237 0.70409833 -3.6715762
159 -0.65427907 1.0672927 -4.7388739 0.71152847 -3.6715812
160 -0.65699582 1.0710233 -4.7426044 0.71401553 -3.6715812
161 -0.63307697 1.0663444 -4.7379229 0.71089627 -3.6715783
162 -0.60038603 1.058335 -4.7299106 0.70555667 -3.6715756
163 -0.56827699 1.0525899 -4.7241644 0.7017266 -3.6715745
164 -0.54884135 1.0514102 -4.7229861 0.70094013 -3.6715759
165 -0.53808549 1.0533287 -4.724908 0.70221913 -3.6715793
166 -0.52118523 1.0542424 -4.7258253 0.70282827 -3.6715829
167 -0.4892256 1.0504435 -4.7220272 0.70029567 -3.6715838
168 -0.4391972 1.0418781 -4.7134583 0.6945854 -3.6715803
169 -0.38293853 1.0320231 -4.7036025 0.6880154 -3.6715795
170 -0.33764758 1.0251144 -4.6966916 0.6834096 -3.6715772
171 -0.31025791 1.0234706 -4.6950476 0.68231373 -3.6715769
172 -0.30676464 1.0273834 -4.6989594 0.68492227 -3.671576
173 -0.33143964 1.0376516 -4.7092256 0.69176773 -3.671574
174 -0.38847281 1.0557509 -4.7273274 0.70383393 -3.6715765
175 -0.46886448 1.080362 -4.7519431 0.72024133 -3.6715811
176 -0.55225924 1.105524 -4.7771119 0.737016 -3.6715879
177 -0.60381794 1.1217521 -4.7933462 0.74783473 -3.671594
178 -0.5936174 1.1196839 -4.7912817 0.74645593 -3.6715978
179 -0.50879408 1.0950989 -4.7666963 0.73006593 -3.6715974
180 -0.35717515 1.0513537 -4.7229445 0.70090247 -3.6715907
181 -0.1761923 0.99866954 -4.6702528 0.66577969 -3.6715832
182 -0.007580767 0.95028176 -4.621859 0.63352117 -3.6715771
183 0.10836433 0.91673593 -4.58831 0.61115729 -3.6715741
184 0.15219743 0.90442643 -4.5759975 0.60295095 -3.6715711
185 0.11301825 0.91626362 -4.5878375 0.61084241 -3.6715739
186 0.0023537234 0.94797046 -4.6195524 0.63198031 -3.6715819
187 -0.13065404 0.98613139 -4.657723 0.65742093 -3.6715916
188 -0.23259574 1.0141874 -4.6857868 0.67612493 -3.6715994
189 -0.26133726 1.0191805 -4.6907844 0.67945367 -3.6716039
190 -0.20684842 0.99674685 -4.668343 0.6644979 -3.6715961
191 -0.11458245 0.96310472 -4.6346785 0.64206981 -3.6715738
192 -0.085518786 0.95162509 -4.6231955 0.63441673 -3.6715704
193 -0.13810438 0.96783074 -4.6394188 0.64522049 -3.6715881
194 -0.21935679 0.99178741 -4.6633769 0.66119161 -3.6715894
195 -0.30132008 1.0150518 -4.6866395 0.6767012 -3.6715878
196 -0.38523069 1.0376218 -4.709212 0.69174787 -3.6715903
197 -0.46176736 1.0573041 -4.7288966 0.7048694 -3.6715924
198 -0.51214682 1.0699021 -4.7414944 0.71326807 -3.6715923
199 -0.53738728 1.0740338 -4.7456242 0.71602253 -3.6715904
200 -0.53894512 1.0722477 -4.7438363 0.7148318 -3.6715887
201 -0.52803343 1.0679918 -4.739579 0.71199453 -3.6715872
202 -0.50689237 1.0625422 -4.7341302 0.70836147 -3.671588
203 -0.46572654 1.0529294 -4.7245223 0.70195293 -3.6715929
204 -0.39000277 1.034031 -4.7056244 0.689354 -3.6715933
205 -0.28112699 1.0057664 -4.6773552 0.67051093 -3.6715888
206 -0.16563427 0.97579213 -4.6473771 0.65052809 -3.671585
207 -0.062408083 0.9494613 -4.6210515 0.6329742 -3.6715902
208 0.043918605 0.92221915 -4.5938129 0.61481277 -3.6715937
209 0.15049044 0.89238584 -4.5639714 0.59492389 -3.6715856
210 0.22630135 0.87041522 -4.5419941 0.58027681 -3.6715789
211 0.23849171 0.86617549 -4.5377537 0.57745033 -3.6715781
212 0.18779017 0.8794444 -4.5510226 0.58629627 -3.6715781
213 0.079790988 0.90766381 -4.5792416 0.60510921 -3.6715778
214 -0.066422293 0.94765046 -4.6192326 0.63176697 -3.6715821
215 -0.22334347 0.99029935 -4.6618877 0.66019957 -3.6715883
216 -0.34858472 1.0237766 -4.6953685 0.68251773 -3.6715919
217 -0.41964159 1.041055 -4.7126448 0.69403667 -3.6715898
218 -0.43599483 1.0432686 -4.7148531 0.6955124 -3.6715845
219 -0.41861572 1.0371342 -4.7087126 0.6914228 -3.6715783
220 -0.39347926 1.0289933 -4.7005711 0.68599553 -3.6715777
221 -0.3705361 1.0226369 -4.6942119 0.68175793 -3.6715751
222 -0.36215314 1.0216834 -4.6932558 0.68112227 -3.6715724
223 -0.38283763 1.0300071 -4.7015796 0.6866714 -3.6715725
224 -0.43327595 1.0479615 -4.7195372 0.698641 -3.6715757
225 -0.49186383 1.0699186 -4.7414998 0.71327907 -3.6715812
226 -0.54236566 1.0880137 -4.7595966 0.72534247 -3.6715829
227 -0.55435439 1.0965739 -4.7681582 0.73104927 -3.6715844
228 -0.52573707 1.0931973 -4.764781 0.7287982 -3.6715837
229 -0.45599342 1.0781471 -4.7497293 0.71876473 -3.6715822
230 -0.35693386 1.0540752 -4.7256548 0.7027168 -3.6715796
231 -0.24952745 1.0265744 -4.698149 0.68438293 -3.6715746
232 -0.16701902 1.0043307 -4.6758997 0.6695538 -3.671569
233 -0.13764804 0.99626287 -4.6678297 0.66417525 -3.6715669
234 -0.16834443 1.0052979 -4.6768699 0.6701986 -3.671572
235 -0.24236834 1.0246842 -4.6962646 0.6831228 -3.6715806
236 -0.31758737 1.0424682 -4.7140531 0.6949788 -3.6715848
237 -0.36851882 1.0502694 -4.7218537 0.7001796 -3.6715843
238 -0.39032012 1.0477891 -4.7193683 0.69852607 -3.6715793
239 -0.39903197 1.0416993 -4.7132743 0.6944662 -3.671575
240 -0.41557271 1.0395434 -4.7111173 0.69302893 -3.6715739
241 -0.44462884 1.0427242 -4.7142997 0.69514947 -3.6715756
242 -0.46948509 1.0458058 -4.7173857 0.69720387 -3.6715799
243 -0.46826292 1.0424641 -4.7140468 0.69497607 -3.6715828
244 -0.43640805 1.0307335 -4.7023139 0.68715567 -3.6715804
245 -0.38841175 1.0147502 -4.6863242 0.67650013 -3.671574
246 -0.3502568 1.0033683 -4.6749368 0.6689122 -3.6715684
247 -0.34473676 1.0046589 -4.676226 0.6697726 -3.6715671
248 -0.37296899 1.0180924 -4.6896666 0.67872827 -3.6715742
249 -0.4056158 1.0335856 -4.7051681 0.68905707 -3.6715824
250 -0.40345398 1.0388406 -4.7104281 0.6925604 -3.6715875
251 -0.34847113 1.0268199 -4.6984073 0.6845466 -3.6715874
252 -0.24715457 0.99970333 -4.6712844 0.66646889 -3.6715811
253 -0.13053218 0.96736546 -4.6389377 0.64491031 -3.6715722
254 -0.033682435 0.94162574 -4.6131932 0.62775049 -3.6715675
255 0.020651474 0.92888963 -4.6004578 0.61925975 -3.6715681
256 0.031741474 0.9293087 -4.6008785 0.61953913 -3.6715698
257 -0.00072157338 0.94121269 -4.612786 0.62747513 -3.6715733
258 -0.05334363 0.95936759 -4.6309447 0.63957839 -3.6715772
259 -0.1041273 0.97616731 -4.6477469 0.65077821 -3.6715795
260 -0.14738598 0.98875157 -4.6603282 0.65916771 -3.6715767
261 -0.18329403 0.99914991 -4.6707263 0.66609994 -3.6715764
262 -0.21222183 1.0076375 -4.6792169 0.67175833 -3.6715794
263 -0.21749377 1.0092158 -4.6807991 0.67281053 -3.6715832
264 -0.18557888 0.99811861 -4.6697007 0.66541241 -3.6715821
265 -0.1131159 0.9752413 -4.6468166 0.65016087 -3.6715752
266 -0.033996577 0.94923398 -4.6208022 0.63282265 -3.6715682
267 0.028349072 0.92951981 -4.6010863 0.61967987 -3.6715666
268 0.056928304 0.92065911 -4.5922256 0.61377274 -3.6715666
269 0.047410278 0.92344043 -4.5950071 0.61562695 -3.6715667
270 0.00097386752 0.93737815 -4.6089457 0.62491877 -3.6715676
271 -0.075055599 0.95989963 -4.6314699 0.63993309 -3.6715703
272 -0.16066709 0.98570519 -4.6572798 0.65713679 -3.6715746
273 -0.24049519 1.00896 -4.6805368 0.67264 -3.6715768
274 -0.30119933 1.0263821 -4.6979584 0.68425473 -3.6715763
275 -0.34739157 1.0378819 -4.7094578 0.69192127 -3.6715758
276 -0.37407732 1.0449603 -4.7165352 0.6966402 -3.6715749
277 -0.38960667 1.049569 -4.7211436 0.69971267 -3.6715746
278 -0.39830661 1.0530679 -4.7246439 0.70204527 -3.6715761
279 -0.39588282 1.0540958 -4.7256755 0.70273053 -3.6715797
280 -0.36681792 1.0472129 -4.7187992 0.69814193 -3.6715863
281 -0.28811173 1.0260544 -4.6976415 0.68403627 -3.671587
282 -0.16342291 0.9894275 -4.6610101 0.65961833 -3.6715826
283 -0.010828626 0.94397852 -4.6155548 0.62931901 -3.6715763
284 0.12799223 0.90275295 -4.5743191 0.6018353 -3.6715661
285 0.20127015 0.88121056 -4.5527705 0.58747371 -3.6715599
286 0.18080581 0.88878047 -4.5603433 0.59252031 -3.6715629
287 0.080879626 0.92040942 -4.5919838 0.61360628 -3.6715744
288 -0.04622899 0.95954519 -4.6311287 0.63969679 -3.6715835
289 -0.1575833 0.99141769 -4.6630023 0.66094513 -3.6715846
290 -0.23313642 1.010737 -4.6823196 0.67382467 -3.6715825
291 -0.2718611 1.0185919 -4.690173 0.67906127 -3.671581
292 -0.28157127 1.0175751 -4.6891536 0.6783834 -3.6715784
293 -0.27096157 1.0102579 -4.6818349 0.67350527 -3.6715771
294 -0.24646989 0.9993338 -4.6709103 0.66622253 -3.6715764
295 -0.21879956 0.98730806 -4.6588858 0.65820537 -3.6715778
296 -0.19509126 0.97641787 -4.6479936 0.65094525 -3.6715756
297 -0.1858943 0.96957417 -4.6411484 0.64638278 -3.6715743
298 -0.20103374 0.96981907 -4.6413938 0.64654605 -3.6715747
299 -0.23841718 0.97738704 -4.6489649 0.65159136 -3.671578
300 -0.28653902 0.98878759 -4.6603679 0.65919173 -3.6715803
301 -0.33392963 1.0002272 -4.6718081 0.66681813 -3.6715809
302 -0.37449695 1.0113097 -4.6828914 0.67420647 -3.6715817
303 -0.40495967 1.0217987 -4.6933836 0.68119913 -3.6715849
304 -0.40972322 1.0267272 -4.6983181 0.6844848 -3.6715907
305 -0.37425171 1.0194845 -4.6910763 0.67965633 -3.6715918
306 -0.29512377 0.99946583 -4.6710534 0.66631055 -3.6715876
307 -0.19798511 0.97346167 -4.6450426 0.64897445 -3.671581
308 -0.11086488 0.95062102 -4.6221982 0.63374735 -3.6715772
309 -0.047912933 0.93554491 -4.6071235 0.62369661 -3.6715786
310 -0.0020290274 0.92529327 -4.5968748 0.61686218 -3.6715816
311 0.041081776 0.9144654 -4.5860468 0.6096436 -3.6715814
312 0.085804027 0.90197706 -4.5735554 0.60131804 -3.6715783
313 0.11734248 0.89198722 -4.5635628 0.59465815 -3.6715756
314 0.11611126 0.88987409 -4.5614499 0.59324939 -3.6715757
315 0.077718166 0.89791356 -4.5694894 0.59860904 -3.6715759
316 0.0054577223 0.91536944 -4.586948 0.61024629 -3.6715785
317 -0.091464938 0.93999824 -4.6115793 0.62666549 -3.671581
318 -0.20099686 0.96762991 -4.6392153 0.64508661 -3.6715854
319 -0.30273236 0.99304296 -4.6646314 0.66202864 -3.6715885
320 -0.38171864 1.0117435 -4.6833333 0.67449567 -3.6715898
321 -0.42828352 1.0211741 -4.6927634 0.68078273 -3.6715894
322 -0.44662462 1.0219347 -4.6935206 0.6812898 -3.6715859
323 -0.45060503 1.0196642 -4.6912448 0.67977613 -3.6715806
324 -0.46559622 1.0214332 -4.6930143 0.68095547 -3.671581
325 -0.48698543 1.0262659 -4.6978525 0.68417727 -3.6715866
326 -0.49890159 1.0274754 -4.6990629 0.6849836 -3.6715876
327 -0.49518783 1.0238881 -4.6954718 0.68259207 -3.6715837
328 -0.49353869 1.0207347 -4.6923138 0.6804898 -3.6715791
329 -0.50746252 1.0231034 -4.6946831 0.68206893 -3.6715795
330 -0.54020135 1.0320258 -4.7036083 0.6880172 -3.6715825
331 -0.58005166 1.0437864 -4.7153731 0.6958576 -3.6715868
332 -0.61119299 1.0520273 -4.7236171 0.70135153 -3.6715898
333 -0.61669643 1.0529833 -4.7245737 0.70198887 -3.6715904
334 -0.60675602 1.0485104 -4.720097 0.69900693 -3.6715867
335 -0.59448815 1.0425462 -4.7141354 0.6950308 -3.6715891
336 -0.58198001 1.0357941 -4.7073849 0.6905294 -3.6715909
337 -0.56627069 1.0275182 -4.6991078 0.68501213 -3.6715895
338 -0.56141611 1.0214853 -4.6930718 0.6809902 -3.6715864
339 -0.57969573 1.0232526 -4.6948408 0.6821684 -3.6715882
340 -0.6208876 1.0316046 -4.7031952 0.6877364 -3.6715906
341 -0.66145538 1.0412348 -4.7128258 0.69415653 -3.671591
342 -0.68531959 1.0484336 -4.7200269 0.69895573 -3.6715933
343 -0.68609126 1.0503814 -4.721978 0.70025427 -3.6715966
344 -0.65184989 1.0446917 -4.7162876 0.69646113 -3.6715959
345 -0.58537375 1.030888 -4.7024839 0.68725867 -3.6715958
346 -0.49501525 1.0112811 -4.6828748 0.6741874 -3.6715937
347 -0.3956323 0.99061176 -4.6622034 0.66040784 -3.6715918
348 -0.30335568 0.9740587 -4.6456488 0.64937247 -3.6715901
349 -0.23104003 0.96338213 -4.6349722 0.64225475 -3.67159
350 -0.16926236 0.95596852 -4.6275606 0.63731235 -3.671592
351 -0.11256054 0.94855991 -4.6201526 0.63237327 -3.6715927
352 -0.055193591 0.94051907 -4.6121102 0.62701271 -3.6715911
353 -0.0074155839 0.933365 -4.6049556 0.62224333 -3.6715906
354 0.027046903 0.92870231 -4.6002912 0.61913487 -3.6715889
355 0.044370379 0.92687676 -4.5984677 0.61791784 -3.6715909
356 0.046477577 0.92801352 -4.5996039 0.61867568 -3.6715903
357 0.023124795 0.93422556 -4.6058128 0.62281704 -3.6715871
358 -0.041732077 0.94944963 -4.6210341 0.63296642 -3.6715844
359 -0.15157152 0.97743741 -4.6490217 0.65162494 -3.6715843
360 -0.30745664 1.0174016 -4.6889938 0.67826773 -3.6715922
361 -0.47156851 1.0598054 -4.7314054 0.70653693 -3.6716
362 -0.60689118 1.0919003 -4.7635029 0.72793353 -3.6716026
363 -0.6839384 1.1073535 -4.7789551 0.73823567 -3.6716016
364 -0.71016523 1.1076681 -4.7792643 0.7384454 -3.6715962
365 -0.69531779 1.0978413 -4.7694363 0.7318942 -3.6715949
366 -0.65391622 1.0822747 -4.7538692 0.72151647 -3.6715944
367 -0.59048363 1.0624211 -4.7340184 0.70828073 -3.6715973
368 -0.50230862 1.0361827 -4.7077839 0.69078847 -3.6716012
369 -0.38043157 1.0004683 -4.6720703 0.66697887 -3.6716019
370 -0.23526933 0.95664713 -4.6282431 0.63776475 -3.671596
371 -0.10351611 0.91526731 -4.5868515 0.61017821 -3.6715842
372 -0.034185631 0.89430076 -4.5658772 0.59620051 -3.6715765
373 -0.071929188 0.90720443 -4.5787841 0.60480295 -3.6715796
374 -0.19862995 0.94842917 -4.6200223 0.63228611 -3.6715931
375 -0.34609598 0.99651056 -4.6681153 0.66434037 -3.6716047
376 -0.45195354 1.0319444 -4.7035538 0.68796293 -3.6716094
377 -0.48985361 1.0468676 -4.7184757 0.69791173 -3.6716081
378 -0.46011409 1.0422422 -4.7138472 0.69482813 -3.671605
