# #z rho_na(z) rho_cl(z)
1.242333836883548770e+01 1.623130944308335752e-02 1.498504796864513940e-02
1.267687588656682429e+01 1.640080100360695459e-02 1.462612466400693353e-02
1.293041340429816088e+01 1.565304411894402614e-02 1.562313384355750769e-02
1.318395092202949748e+01 1.552343292560245079e-02 1.590229641383167011e-02
1.343748843976083407e+01 1.482552649991704732e-02 1.597208705640021029e-02
1.369102595749217066e+01 1.553340301739795579e-02 1.544367219123840389e-02
1.394456347522350725e+01 1.609172815794627717e-02 1.582253567946762321e-02
1.419810099295484207e+01 1.538385164046536871e-02 1.559322356817099096e-02
1.445163851068617866e+01 1.550349274201143907e-02 1.612163843333279389e-02
1.470517602841751525e+01 1.551346283380694406e-02 1.581256558767211648e-02
1.495871354614885185e+01 1.637089072822043787e-02 1.503489842762266784e-02
1.521225106388018844e+01 1.531406099789682854e-02 1.526421053891930009e-02
1.546578858161152503e+01 1.584247586305863320e-02 1.629112999385639096e-02
1.571932609934286162e+01 1.578265531228559976e-02 1.433699200193726611e-02
1.597286361707419822e+01 1.519441989635075992e-02 1.624127953487886425e-02
1.622640113480553481e+01 1.444666301168782974e-02 1.575274503689908304e-02
1.647993865253686963e+01 1.608175806615077044e-02 1.645065146258448477e-02
1.673347617026820799e+01 1.518444980455525492e-02 1.570289457792155285e-02
1.698701368799954281e+01 1.616151880051481735e-02 1.601196742358223027e-02
1.724055120573088118e+01 1.579262540408110649e-02 1.435693218552827784e-02
1.749408872346221600e+01 1.617148889231032408e-02 1.526421053891930009e-02
1.774762624119355436e+01 1.614157861692380735e-02 1.494516760146311594e-02
1.800116375892488918e+01 1.600199733178672701e-02 1.455633402143839163e-02
1.825470127665622755e+01 1.566301421073952940e-02 1.560319365996649596e-02
1.850823879438756236e+01 1.550349274201143907e-02 1.610169824974178390e-02
1.876177631211890073e+01 1.476570594914401388e-02 1.680957476722269237e-02
1.901531382985023555e+01 1.464606484759794353e-02 1.682951495081370236e-02
1.926885134758157392e+01 1.440678264450580628e-02 1.635095054462942787e-02
1.952238886531290873e+01 1.505483861121367957e-02 1.641077109540246132e-02
1.977592638304424710e+01 1.594217678101369010e-02 1.500498815223615112e-02
2.002946390077558192e+01 1.604187769896875046e-02 1.534397127328334699e-02
2.028300141850692029e+01 1.692921586876875925e-02 1.376869676959343800e-02
2.053653893623825510e+01 1.494516760146311594e-02 1.308076043570354126e-02
2.079007645396958992e+01 1.605184779076425372e-02 1.335992300597770195e-02
2.104361397170092829e+01 1.540379182405638044e-02 1.408773970704962214e-02
2.129715148943226311e+01 1.611166834153729063e-02 1.556331329278447251e-02
2.155068900716360147e+01 1.560319365996649596e-02 1.638086082001594460e-02
2.180422652489493629e+01 1.492522741787210595e-02 1.730807935699798031e-02
2.205776404262627466e+01 1.406779952345861041e-02 1.716849807186089996e-02
2.231130156035760947e+01 1.143569528944509382e-02 1.623130944308335752e-02
2.256483907808894784e+01 8.594219127725954976e-03 1.103689161762486277e-02
2.281837659582028266e+01 6.430709208101207872e-03 3.399801302267460232e-03
2.307191411355162103e+01 3.898305892042747741e-03 1.395812851370804820e-04
2.332545163128295584e+01 1.156530648278666874e-03 0.000000000000000000e+00
2.357898914901429421e+01 8.973082615955173648e-05 0.000000000000000000e+00
2.383252666674562903e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.408606418447696740e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.433960170220830221e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.459313921993963703e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.484667673767097540e+01 0.000000000000000000e+00 0.000000000000000000e+00
2.510021425540231022e+01 0.000000000000000000e+00 0.000000000000000000e+00
